Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","10uF","C_0603_1608Metric",137.642600,-85.852000,270.000000,top
"C2","0.1uF","C_0603_1608Metric",139.979400,-88.366600,0.000000,top
"C3","10uF","C_0603_1608Metric",147.320000,-84.074000,270.000000,top
"C4","10uF","C_0603_1608Metric",145.288000,-84.074000,270.000000,top
"C5","0.1uF","C_0603_1608Metric",138.353800,-94.589600,180.000000,top
"J1","USB_C_Receptacle","USB_C_Receptacle_HRO_TYPE-C-31-M-12",129.311400,-88.874600,270.000000,top
"J2","114020164","JST_PH_S4B-PH-SM4-TB_1x04-1MP_P2.00mm_Horizontal",157.480000,-88.900000,90.000000,top
"L1","2.2uH","L_6.3x6.3_H3",136.144000,-78.486000,90.000000,top
"R1","100 Ohm","R_0603_1608Metric",139.192000,-85.852000,270.000000,top
"R2","27R","R_0603_1608Metric",138.353800,-91.465400,180.000000,top
"R3","27R","R_0603_1608Metric",138.353800,-93.014800,180.000000,top
"R4","1k Ohm","R_0603_1608Metric",148.844000,-91.948000,270.000000,top
"R5","1k Ohm","R_0603_1608Metric",150.876000,-91.948000,90.000000,top
"R6","5.1k Ohm","R_0603_1608Metric",139.192000,-89.916000,0.000000,top
"R7","5.1k Ohm","R_0603_1608Metric",135.509000,-91.440000,270.000000,top
"U1","TPS63002","Texas_DRC0010J_ThermalVias",142.240000,-83.058000,0.000000,top
"U2","FT201XQ","QFN-16-1EP_4x4mm_P0.65mm_EP2.1x2.1mm",143.510000,-92.964000,270.000000,top
